Time	Node	Type	Packets	
1	Node0	CacheHits	0
1	Node0	CacheMisses	881
1	Node1	CacheHits	7
1	Node1	CacheMisses	868
1	Node2	CacheHits	0
1	Node2	CacheMisses	3
1	Node3	CacheHits	0
1	Node3	CacheMisses	3
1	Node4	CacheHits	1
1	Node4	CacheMisses	862
1	Node5	CacheHits	0
1	Node5	CacheMisses	3
1	Node6	CacheHits	0
1	Node6	CacheMisses	3
1	Node7	CacheHits	1
1	Node7	CacheMisses	853
1	Node8	CacheHits	0
1	Node8	CacheMisses	911
2	Node0	CacheHits	0
2	Node0	CacheMisses	822
2	Node1	CacheHits	13
2	Node1	CacheMisses	812
2	Node2	CacheHits	0
2	Node2	CacheMisses	0
2	Node3	CacheHits	0
2	Node3	CacheMisses	0
2	Node4	CacheHits	1
2	Node4	CacheMisses	809
2	Node5	CacheHits	0
2	Node5	CacheMisses	0
2	Node6	CacheHits	0
2	Node6	CacheMisses	0
2	Node7	CacheHits	0
2	Node7	CacheMisses	809
2	Node8	CacheHits	0
2	Node8	CacheMisses	893
3	Node0	CacheHits	0
3	Node0	CacheMisses	829
3	Node1	CacheHits	54
3	Node1	CacheMisses	807
3	Node2	CacheHits	0
3	Node2	CacheMisses	0
3	Node3	CacheHits	0
3	Node3	CacheMisses	0
3	Node4	CacheHits	0
3	Node4	CacheMisses	806
3	Node5	CacheHits	0
3	Node5	CacheMisses	0
3	Node6	CacheHits	0
3	Node6	CacheMisses	0
3	Node7	CacheHits	1
3	Node7	CacheMisses	809
3	Node8	CacheHits	0
3	Node8	CacheMisses	906
4	Node0	CacheHits	0
4	Node0	CacheMisses	803
4	Node1	CacheHits	34
4	Node1	CacheMisses	793
4	Node2	CacheHits	0
4	Node2	CacheMisses	0
4	Node3	CacheHits	0
4	Node3	CacheMisses	0
4	Node4	CacheHits	0
4	Node4	CacheMisses	793
4	Node5	CacheHits	0
4	Node5	CacheMisses	0
4	Node6	CacheHits	0
4	Node6	CacheMisses	0
4	Node7	CacheHits	1
4	Node7	CacheMisses	793
4	Node8	CacheHits	0
4	Node8	CacheMisses	871
5	Node0	CacheHits	0
5	Node0	CacheMisses	823
5	Node1	CacheHits	57
5	Node1	CacheMisses	807
5	Node2	CacheHits	0
5	Node2	CacheMisses	0
5	Node3	CacheHits	0
5	Node3	CacheMisses	0
5	Node4	CacheHits	0
5	Node4	CacheMisses	807
5	Node5	CacheHits	0
5	Node5	CacheMisses	0
5	Node6	CacheHits	0
5	Node6	CacheMisses	0
5	Node7	CacheHits	0
5	Node7	CacheMisses	803
5	Node8	CacheHits	0
5	Node8	CacheMisses	873
6	Node0	CacheHits	0
6	Node0	CacheMisses	835
6	Node1	CacheHits	62
6	Node1	CacheMisses	820
6	Node2	CacheHits	0
6	Node2	CacheMisses	0
6	Node3	CacheHits	0
6	Node3	CacheMisses	0
6	Node4	CacheHits	0
6	Node4	CacheMisses	824
6	Node5	CacheHits	0
6	Node5	CacheMisses	0
6	Node6	CacheHits	0
6	Node6	CacheMisses	0
6	Node7	CacheHits	0
6	Node7	CacheMisses	824
6	Node8	CacheHits	0
6	Node8	CacheMisses	876
7	Node0	CacheHits	0
7	Node0	CacheMisses	821
